"Dependency","Version","License"
"@angular/animations","17.3.7","MIT"
"@angular/common","17.3.7","MIT"
"@angular/compiler","17.3.7","MIT"
"@angular/core","17.3.7","MIT"
"@angular/forms","17.3.7","MIT"
"@angular/platform-browser-dynamic","17.3.7","MIT"
"@angular/platform-browser","17.3.7","MIT"
"@angular/router","17.3.7","MIT"
"@popperjs/core","2.11.8","MIT"
"accepts","1.3.8","MIT"
"array-flatten","1.1.1","MIT"
"body-parser","1.20.2","MIT"
"bootstrap","5.3.3","MIT"
"bytes","3.1.2","MIT"
"content-disposition","0.5.4","MIT"
"content-type","1.0.5","MIT"
"cookie-signature","1.0.6","MIT"
"cookie","0.6.0","MIT"
"debug","2.6.9","MIT"
"depd","2.0.0","MIT"
"destroy","1.2.0","MIT"
"encodeurl","1.0.2","MIT"
"escape-html","1.0.3","MIT"
"etag","1.8.1","MIT"
"express.js","1.0.0","ISC"
"express","4.19.2","MIT"
"finalhandler","1.2.0","MIT"
"forwarded","0.2.0","MIT"
"fresh","0.5.2","MIT"
"http-errors","2.0.0","MIT"
"iconv-lite","0.4.24","MIT"
"ipaddr.js","1.9.1","MIT"
"merge-descriptors","1.0.1","MIT"
"methods","1.1.2","MIT"
"mime-db","1.52.0","MIT"
"mime-types","2.1.35","MIT"
"mime","1.6.0","MIT"
"ms","2.0.0","MIT"
"ms","2.1.3","MIT"
"negotiator","0.6.3","MIT"
"ngx-bootstrap","12.0.0","MIT"
"on-finished","2.4.1","MIT"
"parseurl","1.3.3","MIT"
"path-to-regexp","0.1.7","MIT"
"proxy-addr","2.0.7","MIT"
"qs","6.11.0","BSD-3-Clause"
"range-parser","1.2.1","MIT"
"raw-body","2.5.2","MIT"
"rxjs","7.8.1","Apache-2.0"
"safe-buffer","5.2.1","MIT"
"safer-buffer","2.1.2","MIT"
"send","0.18.0","MIT"
"serve-static","1.15.0","MIT"
"setprototypeof","1.2.0","ISC"
"statuses","2.0.1","MIT"
"tslib","2.6.2","0BSD"
"type-is","1.6.18","MIT"
"unpipe","1.0.0","MIT"
"utils-merge","1.0.1","MIT"
"vary","1.1.2","MIT"
"zone.js","0.14.5","MIT"